assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename
GCA_003526105.1,PRJNA417962,SAMN08020301,DQAX00000000.1,derived from metagenome; fragmented assembly,na,,2055764,2055764,Synechococcus sp. UBA8071,,UBA8071,latest,Scaffold,Major,Full,2018/09/10,ASM352610v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/526/105/GCA_003526105.1_ASM352610v1,./genbank/bacteria/GCA_003526105.1/GCA_003526105.1_ASM352610v1_genomic.fna.gz,./genbank/bacteria/GCA_003526105.1/GCA_003526105.1_ASM352610v1_genomic.fna.gz,GCA_003526105.1_ASM352610v1
GCA_004332415.1,PRJNA419515,SAMN08057241,PHQT00000000.1,,na,,2055943,2055943,Synechococcus sp. BS55D,strain=BS55D,,latest,Contig,Major,Full,2019/03/07,ASM433241v1,National Research Council (CNR),GCF_004332415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/332/415/GCA_004332415.1_ASM433241v1,./genbank/bacteria/GCA_004332415.1/GCA_004332415.1_ASM433241v1_genomic.fna.gz,./genbank/bacteria/GCA_004332415.1/GCA_004332415.1_ASM433241v1_genomic.fna.gz,GCA_004332415.1_ASM433241v1
GCA_004332405.1,PRJNA419515,SAMN08057242,PHQU00000000.1,,na,,2055944,2055944,Synechococcus sp. BS56D,strain=BS56D,,latest,Contig,Major,Full,2019/03/07,ASM433240v1,National Research Council (CNR),GCF_004332405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/332/405/GCA_004332405.1_ASM433240v1,./genbank/bacteria/GCA_004332405.1/GCA_004332405.1_ASM433240v1_genomic.fna.gz,./genbank/bacteria/GCA_004332405.1/GCA_004332405.1_ASM433240v1_genomic.fna.gz,GCA_004332405.1_ASM433240v1
GCA_002006815.1,PRJNA342151,SAMN05915836,MRUD00000000.1,derived from metagenome; untrustworthy as type,na,,1910958,2116544,Synechococcus lacustris str. Tous,strain=Tous,Tous,latest,Contig,Major,Full,2017/02/24,ASM200681v1,Universidad Miguel Hernandez,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/006/815/GCA_002006815.1_ASM200681v1,./genbank/bacteria/GCA_002006815.1/GCA_002006815.1_ASM200681v1_genomic.fna.gz,./genbank/bacteria/GCA_002006815.1/GCA_002006815.1_ASM200681v1_genomic.fna.gz,GCA_002006815.1_ASM200681v1
GCA_003011125.1,PRJNA435996,SAMN08610144,PXVC00000000.1,,representative genome,assembly from type material,2116544,2116544,Synechococcus lacustris,strain=Tous,,latest,Scaffold,Major,Full,2018/03/19,ASM301112v1,Evolutionary Genomics Group,GCF_003011125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/011/125/GCA_003011125.1_ASM301112v1,./genbank/bacteria/GCA_003011125.1/GCA_003011125.1_ASM301112v1_genomic.fna.gz,./genbank/bacteria/GCA_003011125.1/GCA_003011125.1_ASM301112v1_genomic.fna.gz,GCA_003011125.1_ASM301112v1
GCA_003209005.1,PRJNA445865,SAMN08886605,QCTI00000000.1,derived from single cell,na,,2161927,2161927,Synechococcus sp. AG-673-D02,,AG-673-D02,latest,Contig,Major,Full,2018/06/12,ASM320900v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/005/GCA_003209005.1_ASM320900v1,./genbank/bacteria/GCA_003209005.1/GCA_003209005.1_ASM320900v1_genomic.fna.gz,./genbank/bacteria/GCA_003209005.1/GCA_003209005.1_ASM320900v1_genomic.fna.gz,GCA_003209005.1_ASM320900v1
GCA_003210975.1,PRJNA445865,SAMN08886619,QCTW00000000.1,derived from single cell,na,,2161928,2161928,Synechococcus sp. AG-676-E04,,AG-676-E04,latest,Contig,Major,Full,2018/06/12,ASM321097v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/975/GCA_003210975.1_ASM321097v1,./genbank/bacteria/GCA_003210975.1/GCA_003210975.1_ASM321097v1_genomic.fna.gz,./genbank/bacteria/GCA_003210975.1/GCA_003210975.1_ASM321097v1_genomic.fna.gz,GCA_003210975.1_ASM321097v1
GCA_003283215.1,PRJNA445865,SAMN08886020,QBXS00000000.1,derived from single cell,na,,2161929,2161929,Synechococcus sp. AG-323-A01,,AG-323-A01,latest,Contig,Major,Full,2018/06/28,ASM328321v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/283/215/GCA_003283215.1_ASM328321v1,./genbank/bacteria/GCA_003283215.1/GCA_003283215.1_ASM328321v1_genomic.fna.gz,./genbank/bacteria/GCA_003283215.1/GCA_003283215.1_ASM328321v1_genomic.fna.gz,GCA_003283215.1_ASM328321v1
GCA_003283205.1,PRJNA445865,SAMN08886021,QBXT00000000.1,derived from single cell,na,,2161930,2161930,Synechococcus sp. AG-323-A11,,AG-323-A11,latest,Contig,Major,Full,2018/06/28,ASM328320v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/283/205/GCA_003283205.1_ASM328320v1,./genbank/bacteria/GCA_003283205.1/GCA_003283205.1_ASM328320v1_genomic.fna.gz,./genbank/bacteria/GCA_003283205.1/GCA_003283205.1_ASM328320v1_genomic.fna.gz,GCA_003283205.1_ASM328320v1
GCA_003283165.1,PRJNA445865,SAMN08886027,QBXV00000000.1,derived from single cell,na,,2161931,2161931,Synechococcus sp. AG-323-F11,,AG-323-F11,latest,Contig,Major,Full,2018/06/28,ASM328316v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/283/165/GCA_003283165.1_ASM328316v1,./genbank/bacteria/GCA_003283165.1/GCA_003283165.1_ASM328316v1_genomic.fna.gz,./genbank/bacteria/GCA_003283165.1/GCA_003283165.1_ASM328316v1_genomic.fna.gz,GCA_003283165.1_ASM328316v1
GCA_003283135.1,PRJNA445865,SAMN08886028,QBXW00000000.1,derived from single cell,na,,2161932,2161932,Synechococcus sp. AG-323-G20,,AG-323-G20,latest,Contig,Major,Full,2018/06/28,ASM328313v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/283/135/GCA_003283135.1_ASM328313v1,./genbank/bacteria/GCA_003283135.1/GCA_003283135.1_ASM328313v1_genomic.fna.gz,./genbank/bacteria/GCA_003283135.1/GCA_003283135.1_ASM328313v1_genomic.fna.gz,GCA_003283135.1_ASM328313v1
GCA_003283055.1,PRJNA445865,SAMN08886033,QBYA00000000.1,derived from single cell,na,,2161933,2161933,Synechococcus sp. AG-323-O22,,AG-323-O22,latest,Contig,Major,Full,2018/06/28,ASM328305v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/283/055/GCA_003283055.1_ASM328305v1,./genbank/bacteria/GCA_003283055.1/GCA_003283055.1_ASM328305v1_genomic.fna.gz,./genbank/bacteria/GCA_003283055.1/GCA_003283055.1_ASM328305v1_genomic.fna.gz,GCA_003283055.1_ASM328305v1
GCA_003213755.1,PRJNA445865,SAMN08886427,QCMM00000000.1,derived from single cell,na,,2161934,2161934,Synechococcus sp. AG-420-M02,,AG-420-M02,latest,Contig,Major,Full,2018/06/12,ASM321375v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/755/GCA_003213755.1_ASM321375v1,./genbank/bacteria/GCA_003213755.1/GCA_003213755.1_ASM321375v1_genomic.fna.gz,./genbank/bacteria/GCA_003213755.1/GCA_003213755.1_ASM321375v1_genomic.fna.gz,GCA_003213755.1_ASM321375v1
GCA_003212155.1,PRJNA445865,SAMN08886533,QCQO00000000.1,derived from single cell,na,,2161935,2161935,Synechococcus sp. AG-450-D21,,AG-450-D21,latest,Contig,Major,Full,2018/06/12,ASM321215v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/212/155/GCA_003212155.1_ASM321215v1,./genbank/bacteria/GCA_003212155.1/GCA_003212155.1_ASM321215v1_genomic.fna.gz,./genbank/bacteria/GCA_003212155.1/GCA_003212155.1_ASM321215v1_genomic.fna.gz,GCA_003212155.1_ASM321215v1
GCA_003209555.1,PRJNA445865,SAMN08886534,QCQP00000000.1,derived from single cell,na,,2161936,2161936,Synechococcus sp. AG-450-M17,,AG-450-M17,latest,Contig,Major,Full,2018/06/12,ASM320955v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/555/GCA_003209555.1_ASM320955v1,./genbank/bacteria/GCA_003209555.1/GCA_003209555.1_ASM320955v1_genomic.fna.gz,./genbank/bacteria/GCA_003209555.1/GCA_003209555.1_ASM320955v1_genomic.fna.gz,GCA_003209555.1_ASM320955v1
GCA_003211565.1,PRJNA445865,SAMN08886579,QCSI00000000.1,derived from single cell,na,,2161937,2161937,Synechococcus sp. AG-670-A04,,AG-670-A04,latest,Contig,Major,Full,2018/06/12,ASM321156v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/565/GCA_003211565.1_ASM321156v1,./genbank/bacteria/GCA_003211565.1/GCA_003211565.1_ASM321156v1_genomic.fna.gz,./genbank/bacteria/GCA_003211565.1/GCA_003211565.1_ASM321156v1_genomic.fna.gz,GCA_003211565.1_ASM321156v1
GCA_003211535.1,PRJNA445865,SAMN08886580,QCSJ00000000.1,derived from single cell,na,,2161938,2161938,Synechococcus sp. AG-670-A05,,AG-670-A05,latest,Contig,Major,Full,2018/06/12,ASM321153v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/535/GCA_003211535.1_ASM321153v1,./genbank/bacteria/GCA_003211535.1/GCA_003211535.1_ASM321153v1_genomic.fna.gz,./genbank/bacteria/GCA_003211535.1/GCA_003211535.1_ASM321153v1_genomic.fna.gz,GCA_003211535.1_ASM321153v1
GCA_003209215.1,PRJNA445865,SAMN08886581,QCSK00000000.1,derived from single cell,na,,2161939,2161939,Synechococcus sp. AG-670-A19,,AG-670-A19,latest,Contig,Major,Full,2018/06/12,ASM320921v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/215/GCA_003209215.1_ASM320921v1,./genbank/bacteria/GCA_003209215.1/GCA_003209215.1_ASM320921v1_genomic.fna.gz,./genbank/bacteria/GCA_003209215.1/GCA_003209215.1_ASM320921v1_genomic.fna.gz,GCA_003209215.1_ASM320921v1
GCA_003209165.1,PRJNA445865,SAMN08886582,QCSL00000000.1,derived from single cell,na,,2161940,2161940,Synechococcus sp. AG-670-B23,,AG-670-B23,latest,Contig,Major,Full,2018/06/12,ASM320916v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/165/GCA_003209165.1_ASM320916v1,./genbank/bacteria/GCA_003209165.1/GCA_003209165.1_ASM320916v1_genomic.fna.gz,./genbank/bacteria/GCA_003209165.1/GCA_003209165.1_ASM320916v1_genomic.fna.gz,GCA_003209165.1_ASM320916v1
GCA_003209135.1,PRJNA445865,SAMN08886583,QCSM00000000.1,derived from single cell,na,,2161941,2161941,Synechococcus sp. AG-670-D07,,AG-670-D07,latest,Contig,Major,Full,2018/06/12,ASM320913v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/135/GCA_003209135.1_ASM320913v1,./genbank/bacteria/GCA_003209135.1/GCA_003209135.1_ASM320913v1_genomic.fna.gz,./genbank/bacteria/GCA_003209135.1/GCA_003209135.1_ASM320913v1_genomic.fna.gz,GCA_003209135.1_ASM320913v1
GCA_003211515.1,PRJNA445865,SAMN08886584,QCSN00000000.1,derived from single cell,na,,2161942,2161942,Synechococcus sp. AG-670-F04,,AG-670-F04,latest,Contig,Major,Full,2018/06/12,ASM321151v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/515/GCA_003211515.1_ASM321151v1,./genbank/bacteria/GCA_003211515.1/GCA_003211515.1_ASM321151v1_genomic.fna.gz,./genbank/bacteria/GCA_003211515.1/GCA_003211515.1_ASM321151v1_genomic.fna.gz,GCA_003211515.1_ASM321151v1
GCA_003209155.1,PRJNA445865,SAMN08886585,QCSO00000000.1,derived from single cell,na,,2161943,2161943,Synechococcus sp. AG-670-F22,,AG-670-F22,latest,Contig,Major,Full,2018/06/12,ASM320915v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/155/GCA_003209155.1_ASM320915v1,./genbank/bacteria/GCA_003209155.1/GCA_003209155.1_ASM320915v1_genomic.fna.gz,./genbank/bacteria/GCA_003209155.1/GCA_003209155.1_ASM320915v1_genomic.fna.gz,GCA_003209155.1_ASM320915v1
GCA_003211455.1,PRJNA445865,SAMN08886586,QCSP00000000.1,derived from single cell,na,,2161944,2161944,Synechococcus sp. AG-670-G20,,AG-670-G20,latest,Contig,Major,Full,2018/06/12,ASM321145v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/455/GCA_003211455.1_ASM321145v1,./genbank/bacteria/GCA_003211455.1/GCA_003211455.1_ASM321145v1_genomic.fna.gz,./genbank/bacteria/GCA_003211455.1/GCA_003211455.1_ASM321145v1_genomic.fna.gz,GCA_003211455.1_ASM321145v1
GCA_003211275.1,PRJNA445865,SAMN08886601,QCTE00000000.1,derived from single cell,na,,2161945,2161945,Synechococcus sp. AG-673-A03,,AG-673-A03,latest,Contig,Major,Full,2018/06/12,ASM321127v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/275/GCA_003211275.1_ASM321127v1,./genbank/bacteria/GCA_003211275.1/GCA_003211275.1_ASM321127v1_genomic.fna.gz,./genbank/bacteria/GCA_003211275.1/GCA_003211275.1_ASM321127v1_genomic.fna.gz,GCA_003211275.1_ASM321127v1
GCA_003211255.1,PRJNA445865,SAMN08886602,QCTF00000000.1,derived from single cell,na,,2161946,2161946,Synechococcus sp. AG-673-A10,,AG-673-A10,latest,Contig,Major,Full,2018/06/12,ASM321125v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/255/GCA_003211255.1_ASM321125v1,./genbank/bacteria/GCA_003211255.1/GCA_003211255.1_ASM321125v1_genomic.fna.gz,./genbank/bacteria/GCA_003211255.1/GCA_003211255.1_ASM321125v1_genomic.fna.gz,GCA_003211255.1_ASM321125v1
GCA_003209035.1,PRJNA445865,SAMN08886604,QCTH00000000.1,derived from single cell,na,,2161947,2161947,Synechococcus sp. AG-673-B08,,AG-673-B08,latest,Contig,Major,Full,2018/06/12,ASM320903v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/035/GCA_003209035.1_ASM320903v1,./genbank/bacteria/GCA_003209035.1/GCA_003209035.1_ASM320903v1_genomic.fna.gz,./genbank/bacteria/GCA_003209035.1/GCA_003209035.1_ASM320903v1_genomic.fna.gz,GCA_003209035.1_ASM320903v1
GCA_003211205.1,PRJNA445865,SAMN08886606,QCTJ00000000.1,derived from single cell,na,,2161948,2161948,Synechococcus sp. AG-673-F03,,AG-673-F03,latest,Contig,Major,Full,2018/06/12,ASM321120v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/205/GCA_003211205.1_ASM321120v1,./genbank/bacteria/GCA_003211205.1/GCA_003211205.1_ASM321120v1_genomic.fna.gz,./genbank/bacteria/GCA_003211205.1/GCA_003211205.1_ASM321120v1_genomic.fna.gz,GCA_003211205.1_ASM321120v1
GCA_003211035.1,PRJNA445865,SAMN08886616,QCTT00000000.1,derived from single cell,na,,2161949,2161949,Synechococcus sp. AG-676-A03,,AG-676-A03,latest,Contig,Major,Full,2018/06/12,ASM321103v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/035/GCA_003211035.1_ASM321103v1,./genbank/bacteria/GCA_003211035.1/GCA_003211035.1_ASM321103v1_genomic.fna.gz,./genbank/bacteria/GCA_003211035.1/GCA_003211035.1_ASM321103v1_genomic.fna.gz,GCA_003211035.1_ASM321103v1
GCA_003210995.1,PRJNA445865,SAMN08886618,QCTV00000000.1,derived from single cell,na,,2161950,2161950,Synechococcus sp. AG-676-C06,,AG-676-C06,latest,Contig,Major,Full,2018/06/12,ASM321099v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/995/GCA_003210995.1_ASM321099v1,./genbank/bacteria/GCA_003210995.1/GCA_003210995.1_ASM321099v1_genomic.fna.gz,./genbank/bacteria/GCA_003210995.1/GCA_003210995.1_ASM321099v1_genomic.fna.gz,GCA_003210995.1_ASM321099v1
GCA_003210935.1,PRJNA445865,SAMN08886620,QCTX00000000.1,derived from single cell,na,,2161951,2161951,Synechococcus sp. AG-676-E23,,AG-676-E23,latest,Contig,Major,Full,2018/06/12,ASM321093v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/935/GCA_003210935.1_ASM321093v1,./genbank/bacteria/GCA_003210935.1/GCA_003210935.1_ASM321093v1_genomic.fna.gz,./genbank/bacteria/GCA_003210935.1/GCA_003210935.1_ASM321093v1_genomic.fna.gz,GCA_003210935.1_ASM321093v1
GCA_003208975.1,PRJNA445865,SAMN08886621,QCTY00000000.1,derived from single cell,na,,2161952,2161952,Synechococcus sp. AG-676-F02,,AG-676-F02,latest,Contig,Major,Full,2018/06/12,ASM320897v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/208/975/GCA_003208975.1_ASM320897v1,./genbank/bacteria/GCA_003208975.1/GCA_003208975.1_ASM320897v1_genomic.fna.gz,./genbank/bacteria/GCA_003208975.1/GCA_003208975.1_ASM320897v1_genomic.fna.gz,GCA_003208975.1_ASM320897v1
GCA_003208915.1,PRJNA445865,SAMN08886633,QCUK00000000.1,derived from single cell,na,,2161953,2161953,Synechococcus sp. AG-679-B21,,AG-679-B21,latest,Contig,Major,Full,2018/06/12,ASM320891v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/208/915/GCA_003208915.1_ASM320891v1,./genbank/bacteria/GCA_003208915.1/GCA_003208915.1_ASM320891v1_genomic.fna.gz,./genbank/bacteria/GCA_003208915.1/GCA_003208915.1_ASM320891v1_genomic.fna.gz,GCA_003208915.1_ASM320891v1
GCA_003210735.1,PRJNA445865,SAMN08886635,QCUM00000000.1,derived from single cell,na,,2161954,2161954,Synechococcus sp. AG-679-D13,,AG-679-D13,latest,Contig,Major,Full,2018/06/12,ASM321073v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/735/GCA_003210735.1_ASM321073v1,./genbank/bacteria/GCA_003210735.1/GCA_003210735.1_ASM321073v1_genomic.fna.gz,./genbank/bacteria/GCA_003210735.1/GCA_003210735.1_ASM321073v1_genomic.fna.gz,GCA_003210735.1_ASM321073v1
GCA_003210565.1,PRJNA445865,SAMN08886647,QCUY00000000.1,derived from single cell,na,,2161955,2161955,Synechococcus sp. AG-683-A02,,AG-683-A02,latest,Contig,Major,Full,2018/06/12,ASM321056v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/565/GCA_003210565.1_ASM321056v1,./genbank/bacteria/GCA_003210565.1/GCA_003210565.1_ASM321056v1_genomic.fna.gz,./genbank/bacteria/GCA_003210565.1/GCA_003210565.1_ASM321056v1_genomic.fna.gz,GCA_003210565.1_ASM321056v1
GCA_003210555.1,PRJNA445865,SAMN08886648,QCUZ00000000.1,derived from single cell,na,,2161956,2161956,Synechococcus sp. AG-683-A03,,AG-683-A03,latest,Contig,Major,Full,2018/06/12,ASM321055v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/555/GCA_003210555.1_ASM321055v1,./genbank/bacteria/GCA_003210555.1/GCA_003210555.1_ASM321055v1_genomic.fna.gz,./genbank/bacteria/GCA_003210555.1/GCA_003210555.1_ASM321055v1_genomic.fna.gz,GCA_003210555.1_ASM321055v1
GCA_003210535.1,PRJNA445865,SAMN08886649,QCVA00000000.1,derived from single cell,na,,2161957,2161957,Synechococcus sp. AG-683-A22,,AG-683-A22,latest,Contig,Major,Full,2018/06/12,ASM321053v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/535/GCA_003210535.1_ASM321053v1,./genbank/bacteria/GCA_003210535.1/GCA_003210535.1_ASM321053v1_genomic.fna.gz,./genbank/bacteria/GCA_003210535.1/GCA_003210535.1_ASM321053v1_genomic.fna.gz,GCA_003210535.1_ASM321053v1
GCA_003208835.1,PRJNA445865,SAMN08886652,QCVD00000000.1,derived from single cell,na,,2161958,2161958,Synechococcus sp. AG-683-C23,,AG-683-C23,latest,Contig,Major,Full,2018/06/12,ASM320883v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/208/835/GCA_003208835.1_ASM320883v1,./genbank/bacteria/GCA_003208835.1/GCA_003208835.1_ASM320883v1_genomic.fna.gz,./genbank/bacteria/GCA_003208835.1/GCA_003208835.1_ASM320883v1_genomic.fna.gz,GCA_003208835.1_ASM320883v1
GCA_003210495.1,PRJNA445865,SAMN08886653,QCVE00000000.1,derived from single cell,na,,2161959,2161959,Synechococcus sp. AG-683-F20,,AG-683-F20,latest,Contig,Major,Full,2018/06/12,ASM321049v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/495/GCA_003210495.1_ASM321049v1,./genbank/bacteria/GCA_003210495.1/GCA_003210495.1_ASM321049v1_genomic.fna.gz,./genbank/bacteria/GCA_003210495.1/GCA_003210495.1_ASM321049v1_genomic.fna.gz,GCA_003210495.1_ASM321049v1
GCA_003208775.1,PRJNA445865,SAMN08886659,QCVK00000000.1,derived from single cell,na,,2161960,2161960,Synechococcus sp. AG-686-A03,,AG-686-A03,latest,Contig,Major,Full,2018/06/12,ASM320877v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/208/775/GCA_003208775.1_ASM320877v1,./genbank/bacteria/GCA_003208775.1/GCA_003208775.1_ASM320877v1_genomic.fna.gz,./genbank/bacteria/GCA_003208775.1/GCA_003208775.1_ASM320877v1_genomic.fna.gz,GCA_003208775.1_ASM320877v1
GCA_003210375.1,PRJNA445865,SAMN08886661,QCVM00000000.1,derived from single cell,na,,2161961,2161961,Synechococcus sp. AG-686-B21,,AG-686-B21,latest,Contig,Major,Full,2018/06/12,ASM321037v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/375/GCA_003210375.1_ASM321037v1,./genbank/bacteria/GCA_003210375.1/GCA_003210375.1_ASM321037v1_genomic.fna.gz,./genbank/bacteria/GCA_003210375.1/GCA_003210375.1_ASM321037v1_genomic.fna.gz,GCA_003210375.1_ASM321037v1
GCA_003211235.1,PRJNA445865,SAMN08886603,QCTG00000000.1,derived from single cell,na,,2161962,2161962,Synechococcus sp. AG-673-B04,,AG-673-B04,latest,Contig,Major,Full,2018/06/12,ASM321123v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/235/GCA_003211235.1_ASM321123v1,./genbank/bacteria/GCA_003211235.1/GCA_003211235.1_ASM321123v1_genomic.fna.gz,./genbank/bacteria/GCA_003211235.1/GCA_003211235.1_ASM321123v1_genomic.fna.gz,GCA_003211235.1_ASM321123v1
GCA_003211015.1,PRJNA445865,SAMN08886617,QCTU00000000.1,derived from single cell,na,,2161963,2161963,Synechococcus sp. AG-676-A21,,AG-676-A21,latest,Contig,Major,Full,2018/06/12,ASM321101v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/015/GCA_003211015.1_ASM321101v1,./genbank/bacteria/GCA_003211015.1/GCA_003211015.1_ASM321101v1_genomic.fna.gz,./genbank/bacteria/GCA_003211015.1/GCA_003211015.1_ASM321101v1_genomic.fna.gz,GCA_003211015.1_ASM321101v1
GCA_003210815.1,PRJNA445865,SAMN08886630,QCUH00000000.1,derived from single cell,na,,2161964,2161964,Synechococcus sp. AG-679-A02,,AG-679-A02,latest,Contig,Major,Full,2018/06/12,ASM321081v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/815/GCA_003210815.1_ASM321081v1,./genbank/bacteria/GCA_003210815.1/GCA_003210815.1_ASM321081v1_genomic.fna.gz,./genbank/bacteria/GCA_003210815.1/GCA_003210815.1_ASM321081v1_genomic.fna.gz,GCA_003210815.1_ASM321081v1
GCA_003210775.1,PRJNA445865,SAMN08886631,QCUI00000000.1,derived from single cell,na,,2161965,2161965,Synechococcus sp. AG-679-A04,,AG-679-A04,latest,Contig,Major,Full,2018/06/12,ASM321077v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/775/GCA_003210775.1_ASM321077v1,./genbank/bacteria/GCA_003210775.1/GCA_003210775.1_ASM321077v1_genomic.fna.gz,./genbank/bacteria/GCA_003210775.1/GCA_003210775.1_ASM321077v1_genomic.fna.gz,GCA_003210775.1_ASM321077v1
GCA_003210795.1,PRJNA445865,SAMN08886632,QCUJ00000000.1,derived from single cell,na,,2161966,2161966,Synechococcus sp. AG-679-B05,,AG-679-B05,latest,Contig,Major,Full,2018/06/12,ASM321079v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/795/GCA_003210795.1_ASM321079v1,./genbank/bacteria/GCA_003210795.1/GCA_003210795.1_ASM321079v1_genomic.fna.gz,./genbank/bacteria/GCA_003210795.1/GCA_003210795.1_ASM321079v1_genomic.fna.gz,GCA_003210795.1_ASM321079v1
GCA_003210755.1,PRJNA445865,SAMN08886634,QCUL00000000.1,derived from single cell,na,,2161967,2161967,Synechococcus sp. AG-679-C18,,AG-679-C18,latest,Contig,Major,Full,2018/06/12,ASM321075v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/755/GCA_003210755.1_ASM321075v1,./genbank/bacteria/GCA_003210755.1/GCA_003210755.1_ASM321075v1_genomic.fna.gz,./genbank/bacteria/GCA_003210755.1/GCA_003210755.1_ASM321075v1_genomic.fna.gz,GCA_003210755.1_ASM321075v1
